ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,,,,,,,,,,,,,,,,,,,,
284921427,Sudoku,4,3553,2.99,,Mighty Mighty Good Games,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15853568,Games,"Games, Strategy, Puzzle",11/07/2008,30/05/2017,,,,,,,,,,,,,,,,,,,,
284926400,Reversi,3.5,284,1.99,,Kiss The Machine,4+,EN,12328960,Games,"Games, Strategy, Board",11/07/2008,17/05/2018,,,,,,,,,,,,,,,,,,,,
284946595,Morocco,3,8376,0,,Bayou Games,4+,EN,674816,Games,"Games, Board, Strategy",11/07/2008,5/09/2017,,,,,,,,,,,,,,,,,,,,
285755462,Sudoku (Free),3.5,190394,0,,Mighty Mighty Good Games,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",21552128,Games,"Games, Strategy, Puzzle",23/07/2008,30/05/2017,,,,,,,,,,,,,,,,,,,,
285831220,Senet Deluxe,3.5,28,2.99,,RoGame Software,4+,"DA, NL, EN, FR, DE, EL, IT, JA, KO, NO, PT, RU, ZH, ES, SV",34689024,Games,"Games, Strategy, Board, Education",18/07/2008,22/07/2018,,,,,,,,,,,,,,,,,,,,
286210009,Sudoku - Classic number puzzle,3,47,0,1.99,OutOfTheBit Ltd,4+,EN,48672768,Games,"Games, Entertainment, Strategy, Puzzle",30/07/2008,29/04/2019,,,,,,,,,,,,,,,,,,,,
286313771,Gravitation,2.5,35,0,,Robert Farnum,4+,,6328320,Games,"Games, Entertainment, Puzzle, Strategy",30/07/2008,14/11/2013,,,,,,,,,,,,,,,,,,,,
286363959,Colony,2.5,125,0.99,,Chris Haynes,4+,EN,64333824,Games,"Games, Strategy, Board",3/08/2008,3/10/2018,,,,,,,,,,,,,,,,,,,,
286566987,Carte,2.5,44,0,,Jean-Francois Pautex,4+,FR,2657280,Games,"Games, Strategy, Board, Entertainment",3/08/2008,23/11/2017,,,,,,,,,,,,,,,,,,,,
286682679,"""Barrels O' Fun""",2.5,184,0,,BesqWare,4+,EN,1466515,Games,"Games, Casual, Strategy",1/08/2008,1/08/2008,,,,,,,,,,,,,,,,,,,,
287563734,Quaddraxx,,,0,,H2F Informationssysteme GmbH,4+,EN,3089867,Games,"Games, Entertainment, Strategy, Puzzle",11/08/2008,30/09/2008,,,,,,,,,,,,,,,,,,,,
288096268,Lumen Lite,3.5,5072,0,,Bridger Maxwell,4+,EN,7086403,Games,"Games, Puzzle, Strategy",18/08/2008,22/11/2008,,,,,,,,,,,,,,,,,,,,
288669794,BubblePop,3,526,0,,TMSOFT,4+,EN,845008,Games,"Games, Strategy, Entertainment",22/08/2008,25/07/2009,,,,,,,,,,,,,,,,,,,,
288689440,Marple,3.5,989,0.99,,Mikko Kankainen,4+,EN,3643392,Games,"Games, Puzzle, Strategy",28/08/2008,5/05/2019,,,,,,,,,,,,,,,,,,,,
288918962,Tetravex Lite,2.5,2358,0,,Futrell Software,4+,EN,731525,Games,"Games, Puzzle, Strategy, Entertainment",27/08/2008,21/10/2008,,,,,,,,,,,,,,,,,,,,
289217958,Awele/Oware - Mancala HD,3,112,0,0.99,SOLILAB,4+,"EN, FR, DE, IT, ES",122826752,Games,"Games, Strategy, Board",31/08/2008,6/04/2015,,,,,,,,,,,,,,,,,,,,
289217958,Awele/Oware - Mancala HD,3,112,0,0.99,SOLILAB,4+,"EN, FR, DE, IT, ES",122826752,Games,"Games, Strategy, Board",31/08/2008,6/04/2015,,,,,,,,,,,,,,,,,,,,
289382458,Chess Game,3,504,0,,Memention Holding AB,4+,EN,444163,Games,"Games, Board, Strategy",2/09/2008,7/10/2009,,,,,,,,,,,,,,,,,,,,
290493286,Catcha Mouse,3.5,95971,0,"1.99, 0.99, 1.99, 0.99, 4.99, 1.99, 1.99","Meme, Inc",4+,EN,26820692,Games,"Games, Puzzle, Strategy",19/02/2009,26/04/2013,,,,,,,,,,,,,,,,,,,,
290614255,"Cool Sudoku, Jigsaw, Killer",3.5,357,0,"0.99, 0.99, 0.99",Splash Software Ltd.,4+,EN,52236288,Games,"Games, Strategy, Puzzle, Entertainment",24/09/2008,26/04/2019,,,,,,,,,,,,,,,,,,,,
291074572,Mind the Corners,3,7,0.99,,Zentropy Software,4+,EN,1530880,Games,"Games, Strategy, Entertainment, Board",19/09/2008,26/10/2016,,,,,,,,,,,,,,,,,,,,
291723451,All You Can Eat,2,30,0.99,,Armin Heinrich,9+,EN,4341760,Entertainment,"Entertainment, Games, Casual, Strategy",24/09/2008,16/03/2019,,,,,,,,,,,,,,,,,,,,
