Age in years,Gender,Race,Home location,Cockroach,Sushi,Rocky Mountain oyster,Spam,Cow urine,Jalapeño,Alligator meat,Paper,Hawaiian pizza,Pig's trotters,Durian,Monkey brains,Frog legs,Caviar,Fugu,Balut,Lutefisk,Century egg,Salo,Locusts
14,Male,White,North America/Central America,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
40,Male,White,North America/Central America,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False
23,Female,Asian,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17,Male,Asian,North America/Central America,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
16,Female,White,North America/Central America,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
17,Male,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
16,Male,Asian,Asia,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
16,Male,Black or African American,,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
15,Female,Asian,Asia,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
40,Female,White,North America/Central America,False,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
15,Male,Asian,North America/Central America,False,True,,True,False,True,False,False,False,False,,False,False,False,False,False,False,,False,False
16,Female,Asian,North America/Central America,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False
17,Female,Asian,North America/Central America,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
18,Female,White,North America/Central America,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
16,Female,Asian,North America/Central America,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Female,Two or More Races,North America/Central America,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,False,False,True,False
17,Male,,North America/Central America,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True,False,False,True,False,False
9,Male,White,North America/Central America,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
13,Male,Asian,North America/Central America,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Male,Asian,Europe,False,True,True,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
15,Female,,North America/Central America,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50,Female,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
13,Male,White,North America/Central America,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10,Male,White,North America/Central America,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14,Other,Two or More Races,North America/Central America,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False
29,Male,White,Europe,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23,Female,White,Europe,False,True,False,False,False,True,False,,True,False,False,False,False,False,False,False,False,False,False,False
27,Male,White,Europe,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19,Male,White,South America,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False
20,Male,White,Asia,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
17,Male,White,North America/Central America,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
23,Male,White,North America/Central America,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
16,Female,Asian,North America/Central America,False,True,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,True,False,False
19,,,,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
27,Female,White,North America/Central America,False,True,False,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False
31,Female,White,Europe,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
18,Female,White,North America/Central America,False,True,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,False,False,False
28,Male,,Europe,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
33,Male,White,Europe,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
40,Male,,North America/Central America,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Female,White,North America/Central America,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
30,Male,White,North America/Central America,False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False
18,Male,White,North America/Central America,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False
