,Person,Responsibility,imdbID
0,Ernest Vajda,story,tt0016750
1,Ben F. Wilson,scenario,tt0328410
2,Sam-yuk Yoon,screenplay,tt0366512
3,Judy Rothman Rofé,screenplay,tt0206367
4,E.B. White,book,tt0206367
5,Norman Reilly Raine,story,tt0046287
6,Steve Fisher,screenplay,tt0046287
7,Franz Schulz,story,tt0025597
8,Billy Wilder,story,tt0025597
9,Andrew N. Shearer,story,tt1851002
10,Bruno Gascon,original screenplay,tt4451626
11,Tama Janowitz,based on the stories by,tt0098347
12,Tama Janowitz,screenplay,tt0098347
13,Daniel B. Ullman,original screenplay,tt0042967
14,Russ Meyer,screenplay,tt0069796
15,Leonard Neubauer,screenplay,tt0069796
16,Anthony-James Ryan,original story,tt0069796
17,Don 'Red' Barry,story,tt0043064
18,René Lefèvre,novel,tt0053230
19,Harry Spalding,screenplay,tt0058512
20,F. Paul Hall,story,tt0058512
21,Benjamaporn Srabua,screenplay,tt1621642
22,Nawapol Thamrongrattanarit,screenplay,tt1621642
23,Adisorn Trisirikasem,screenplay,tt1621642
24,Mary H. O'Connor,story,tt0008122
25,Melania Romanelli,screenwriter,tt2391934
26,James M. Cain,"story ""A Modern Cinderella""",tt0032124
27,Dwight Taylor,screenplay,tt0032124
28,Eugene B. Lewis,screenplay,tt0009696
29,Eugene B. Lewis,story,tt0009696
30,Houston Roderick,story,tt1433235
31,Bruno François-Boucher,screenplay,tt4403312
32,Dorothy Parker,story,tt4403312
33,Petr Hátle,story,tt3289518
34,Shankar Ramakrishnan,story,tt5440594
35,Shuki Levy,screenplay,tt0105289
36,Shuki Levy,story,tt0105289
37,Philip Lonergan,scenario,tt0765209
38,Beth Rosen,creator,tt3363428
39,Sylvia Lancaster,words,tt5115318
40,Simon Armitage,poetry,tt5115318
41,Victoria Holt,story,tt1583263
42,Omar Rosales,story,tt1583263
43,Debbie Rochon,written with,tt0296148
44,Jared Joseph Richard,screenplay,tt1683925
45,Julie Salamon,book,tt0115892
46,Jill Weber,book,tt0115892
47,Janet Brownell,teleplay,tt0115892
