CRASH_ID,CRASH_DATE,CRASH_TIME,SEVERITY,CRASH_TYPE,CYCLISTS,CYCLIST_CASUALTIES,REPORTED_LOCATION,LATITUDE,LONGITUDE,LOCATION_1
1212158,02 August 2019,12:00,Injury,Other - Vehicle to Vehicle,1,1,FAWKNER STREET (FARRER -> ELOUERA),-35.272927,149.135539,"(-35.272927, 149.135539)"
1212428,26 July 2019,18:20,Property Damage Only,Right angle collision,1,0,BATMAN/GOOREEN INTERSECTION,-35.275991,149.14107,"(-35.275991, 149.14107)"
1188323,15 July 2018,11:00,Property Damage Only,Right angle collision,1,0,COTTER/LADY DENMAN INTERSECTION,-35.312936,149.082802,"(-35.312936, 149.082802)"
1188459,19 July 2018,09:30,Property Damage Only,Same direction side swipe,1,0,ANTILL/MELBA INTERSECTION,-35.2488,149.142165,"(-35.2488, 149.142165)"
1221087,16 December 2019,07:24,Property Damage Only,Other - Vehicle to Vehicle,1,0,ANTILL/MOUAT/NORTHBOURNE INTERSECTION,-35.248235,149.134223,"(-35.248235, 149.134223)"
1221093,16 December 2019,13:20,Property Damage Only,Collision with parked vehicle,1,0,LONSDALE STREET (ELOUERA -> COOYONG),-35.274457,149.132588,"(-35.274457, 149.132588)"
1188651,25 June 2018,12:30,Property Damage Only,Right angle collision,1,0,ANKETELL/SOWARD INTERSECTION,-35.417992,149.069415,"(-35.417992, 149.069415)"
1212565,30 July 2019,09:15,Property Damage Only,Right angle collision,1,0,CANBERRA/DOMINION INTERSECTION,-35.315435,149.130781,"(-35.315435, 149.130781)"
1188703,11 July 2018,15:10,Property Damage Only,Right angle collision,1,0,BRERETON/GILMORE INTERSECTION,-35.340388,149.107859,"(-35.340388, 149.107859)"
1188729,23 July 2018,14:25,Property Damage Only,Other - Vehicle to Vehicle,1,0,MASSON STREET (WATSON -> MCCAUGHEY),-35.269785,149.125567,"(-35.269785, 149.125567)"
1188716,12 July 2018,16:50,Property Damage Only,Other - Vehicle to Vehicle,1,0,GUNGAHLIN/SANDFORD INTERSECTION,-35.218244,149.130804,"(-35.218244, 149.130804)"
1212668,07 August 2019,08:00,Property Damage Only,Other - Vehicle to Vehicle,1,0,MOORE/RUDD INTERSECTION,-35.276944,149.128064,"(-35.276944, 149.128064)"
1188980,16 July 2018,18:18,Property Damage Only,Other - Vehicle to Vehicle,1,0,CONDAMINE STREET (BENT -> MCCAUGHEY),-35.266618,149.124182,"(-35.266618, 149.124182)"
1134313,24 April 2016,11:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,MOUNT AINSLIE DRIVE (FAIRBAIRN -> MOUNT AINSLIE),-35.284405,149.161836,"(-35.284405, 149.161836)"
1177374,13 February 2018,07:40,Property Damage Only,Right angle collision,1,0,GEORGE TYSON/TERMINAL INTERSECTION,-35.308083,149.188811,"(-35.308083, 149.188811)"
1189151,20 July 2018,08:38,Injury,Other - Vehicle to Vehicle,1,1,COMMONWEALTH AVENUE (QUEEN VICTORIA -> KAYE),-35.29924,149.12588,"(-35.29924, 149.12588)"
1221265,17 December 2019,09:20,Property Damage Only,Right angle collision,1,0,BARRY/MOORE INTERSECTION,-35.275603,149.128298,"(-35.275603, 149.128298)"
